Class,Order,Family,Species,FishBase Common name,All Common Name/s Aus/Global English (FishBase),AFD Preferred Common Name
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax obesus,Griffin's moray ,"Marbled reef eel (English), Obese moray (English), Southern reef-eel (English), Speckled moray (English)",Speckled Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax phasmatodes,Ghost moray ,Ghost moray (English),
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax pictus,Paintspotted moray ,"Bar-cheeked eel (English), Black-speckled reef-eels (English), Painted moray (English), Peppered moray (English), Speckled sidereal moray (English)",Painted Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax pindae,Pinda moray ,Pinda moray (English),Pinda Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax polyuranodon,Freshwater moray ,"Freshwater moray (English), Manytoothed moray (English)",Freshwater Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax porphyreus,Lowfin moray ,Lowfin moray (English),Lowfin Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax prasinus,Yellow moray ,"Brown reef eel (English), Green eel (English), Green moray (English), Green reef eel (English), Pettifogger (English), Southern green moray (English), Sydney green eel (English), Yellow moray (English)",Green Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax prionodon,Australian mottled moray ,"Indo-Pacific spotted moray (English), Sawtooth moray (English), Saw-tooth moray (English), Saw-toothed eel (English)",Sawtooth Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax pseudoherrei,False brown moray ,False brown moray (English),False Brown Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax pseudothyrsoideus,Highfin moray ,"False spotted moray (English), Highfin moray (English), Mottled moray-eel (English), Yellow-lined reef-eel (English)",Highfin Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax reticularis,,,
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax richardsonii,Richardson's moray ,,
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax robinsi,Robins' moray ,"Pygmy moray (English), Robins' moray (English)",Pygmy Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax rueppelliae,Banded moray ,"Banded moray (English), Banded reef-eel (English), Rüppell's moray (English)",Banded Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax thyrsoideus,Greyface moray ,"Freckled moray (English), Freckled reef eel (English), Greyface moray (English), White-eyed moray (English)",Greyface Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax undulatus,Undulated moray ,"Leopard moray (English), Mottled moray (English), Mottled reef-eel (English), Undulate moray (English), Undulated moray (English)",Undulate Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax woodwardi,Woodward's moray ,"Western moray (English), Woodward's eel (English), Woodward's moray (English), Woodward's reef eel (English)",Woodward's Moray
Osteichthyes,Anguilliformes,Muraenidae,Gymnothorax zonipectis,Barredfin moray ,"Barredfin moray (English), Bartail moray (English)",Bartail Moray
Osteichthyes,Anguilliformes,Muraenidae,Rhinomuraena quaesita,Ribbon moray ,"Ribbon eel (English), Ribbon moray (English)",Ribbon Eel
Osteichthyes,Anguilliformes,Muraenidae,Strophidon sathete,Slender giant moray ,"Giant slender moray (English), Longtail moray (English), Long-tailed eel (English), Slender giant moray (English)",Longtail Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius concolor,Unicolor snake moray ,"Brown moray (English), Brown reef-eel (English), Unicolor snake moray (English)",Unicolor Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius fuscoguttatus,Brown spotted snake moray ,"Brownspotted snake moray (English), Finless moray (English)",Brownspotted Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius kamar,Barlip reef-eel ,"Moon moray (English), Moon snake moray (English)",Moon Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius marmoratus,Marbled reef-eel ,"Marbled moray (English), Marbled reef-eel (English), Marbled snake moray (English)",Marbled Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius micropterus,Tidepool snake moray ,Shortfin snake moray (English),Shortfin Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius nagoensis,Nago snakemoray ,"Nago snake moray (English), Nago snakemoray (English)",Nago Snake Moray
Osteichthyes,Anguilliformes,Muraenidae,Uropterygius xenodontus,Black snake moray ,,
Osteichthyes,Anguilliformes,Nemichthyidae,Avocettina acuticeps,Southern fintail snipe eel ,"Southern fintail snipe eel (English), Southern snipe eel (English)",Southern Snipe Eel
Osteichthyes,Anguilliformes,Nemichthyidae,Avocettina infans,Avocet snipe eel ,Avocet snipe eel (English),
Osteichthyes,Anguilliformes,Nemichthyidae,Labichthys yanoi,Yano's snipe eel ,Yano's snipe eel (English),Yano's Snipe Eel
Osteichthyes,Anguilliformes,Nemichthyidae,Nemichthys curvirostris,Pale threadtail snipe eel ,"Boxer snipe eel (English), Pale threadtail snipe eel (English)",Boxer Snipe Eel
Osteichthyes,Anguilliformes,Nemichthyidae,Nemichthys scolopaceus,Slender snipe eel ,"Slender snipe eel (English), Snipe eel (English)",Slender Snipe Eel
Osteichthyes,Anguilliformes,Nettastomatidae,Nettastoma parviceps,Duck-billed eel ,"Duckbill eel (English), Shortsnouted sorcerer (English), Smallhead duckbill eel (English)",Smallhead Duckbill Eel
Osteichthyes,Anguilliformes,Nettastomatidae,Nettastoma solitarium,Solitary duckbill eel ,Solitary duckbill eel (English),Solitary Duckbill Eel
Osteichthyes,Anguilliformes,Nettastomatidae,Nettenchelys gephyra,Bridge duckbill eel ,Bridge duckbill eel (English),Bridge Duckbill Eel
Osteichthyes,Anguilliformes,Nettastomatidae,Saurenchelys finitima,Whitsunday wire eel ,"Whitsunday wire eel (English), Wire eel (English)",
Osteichthyes,Anguilliformes,Nettastomatidae,Saurenchelys stylura,Pillar wire eel ,Pillar wire eel (English),Pillar Wire Eel
Osteichthyes,Anguilliformes,Nettastomatidae,Venefica multiporosa,,,
Osteichthyes,Anguilliformes,Ophichthidae,Allips concolor,,Smalleye snake eel (English),Smalleye Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Apterichtus klazingai,Sharpsnout snake eel ,Sharpsnout snake eel (English),Sharpsnout Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Apterichtus malabar,,,
Osteichthyes,Anguilliformes,Ophichthidae,Bascanichthys sibogae,,Siboga snake eel (English),Siboga Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Brachysomophis cirrocheilos,Stargazer snake eel ,Stargazer snake eel (English),Stargazer Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Brachysomophis crocodilinus,Crocodile snake eel ,Crocodile snake eel (English),Crocodile Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Brachysomophis henshawi,Reptilian snake eel ,Henshaw's snake eel (English),Henshaw's Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Callechelys catostoma,Black-striped snake eel ,"Blackstriped snake eel (English), Black-striped snake eel (English)",Blackstriped Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Callechelys marmorata,Marbled snake eel ,Marbled snake eel (English),Marbled Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Cirrhimuraena calamus,Fringelip snake eel ,"Fringed-lipped snake-eel (English), Fringelip snake eel (English)",Fringelip Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Echelus uropterus,Finned worm eel ,"Finned snake eel (English), Finned worm eel (English)",Finned Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ichthyapus vulturis,Vulture sand eel ,Vulture eel (English),Vulture Eel
Osteichthyes,Anguilliformes,Ophichthidae,Leiuranus semicinctus,Saddled snake-eel ,"Banded snake eel (English), Culverin (English), Halfbanded snake-eel (English), Saddled snake-eel (English), Saddled snake eel (English)",Saddled Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Leiuranus versicolor,Convict snake eel ,Convict snake eel (English),Convict Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Malvoliophis pinguis,Halfband snake eel ,Halfband snake eel (English),Halfband Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Muraenichthys thompsoni,Thompson's snake eel ,Thompson's snake eel (English),Thompson's Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Myrichthys colubrinus,Harlequin snake eel ,Harlequin snake eel (English),Harlequin Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Myrichthys maculosus,Tiger snake eel ,"Ocellate snake eel (English), Spotted snake eel (English)",Ocellate Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Myrophis microchir,Ordinary snake eel ,Ordinary snake eel (English),Ordinary Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Neenchelys cheni,Chen's worm eel ,Gaper snake eel (English),Gaper Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus alleni,,,
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus altipennis,Highfin snake eel ,Blackfin snake eel (English),Blackfin Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus bonaparti,Napoleon snake eel ,Purplebanded snake eel (English),Purplebanded Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus cephalozona,Dark-shouldered snake eel ,"Blacksaddle snake eel (English), One-banded snake-eel (English)",Blacksaddle Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus lithinus,Evermann's snake eel ,Evermann's snake eel (English),Evermann's Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus macrochir,Bigfin snake eel ,Bigfin snake eel (English),
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus rutidoderma,Olive snake eel ,"Derby snake-eel (English), Olive snake eel (English)",Olive Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophichthus urolophus,Manetail snake eel ,Manetail snake eel (English),Manetail Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Ophisurus serpens,Serpent eel ,"Giant snake eel (English), Serpent eel (English), Snake eel (English), Snipe eel (English)",Serpent Eel
Osteichthyes,Anguilliformes,Ophichthidae,Phyllophichthus xenodontus,Flappy snake-eel ,"Flappy snake eel (English), Flappy snake-eel (English)",Flappy Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Pisodonophis boro,Rice-paddy eel ,"Estuary snake eel (English), Rice-paddy eel (English)",Estuary Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Pisodonophis cancrivorus,Longfin snake-eel ,"Burrowing snake eel (English), Longfin snake eel (English), Longfin snake-eel (English)",Burrowing Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Schismorhynchus labialis,Grooved-jaw worm eel ,Groovejaw worm eel (English),Groovejaw Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Schultzidia johnstonensis,Johnston snake-eel ,"Johnston snake eel (English), Johnston snake-eel (English), Johnston's snake eel (English)",Johnston's Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys australis,Shortfinned worm eel ,"Down's worm eel (English), Iredale's worm eel (English), Scotts worm eel (English), Shortfin worm eel (English), Shortfinned worm eel (English), Southern worm eel (English), Tasmanian worm eel (English), Worm eel (English)",Shortfin Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys breviceps,Short-headed worm eel ,"Devi's worm-eel (English), Long-finned worm eel (English), Ogilby's worm-eel (English), Shorthead worm eel (English), Short-headed worm eel (English), Slender eel (English)",Shorthead Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys castlei,Deepwater big-eyed worm eel ,Deepwater big-eye worm eel (English),
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys godeffroyi,Godeffroy ,Godeffroy (English),Godeffroy Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys gymnota,Indo-Pacific slender worm-eel ,"Indo-Pacific slender worm-eel (English), Slender worm eel (English)",Slender Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys iredalei,Coral worm eel ,,
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys laticaudata,Redfin worm-eel ,"Pearlbelly snake-eel (English), Redfin worm eel (English)",Redfin Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys macroptera,Narrow worm eel ,"Narrow worm eel (English), Slender snake eel (English)",Narrow Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Scolecenchelys nicholsarum,Nichols' worm eel ,Nichols' worm eel (English),
Osteichthyes,Anguilliformes,Ophichthidae,Skythrenchelys zabra,Angry worm eel ,Angry worm eel (English),Angry Worm Eel
Osteichthyes,Anguilliformes,Ophichthidae,Xyrias revulsus,Strict snake eel ,Strict snake eel (English),Strict Snake Eel
Osteichthyes,Anguilliformes,Ophichthidae,Yirrkala calyptra,,,
Osteichthyes,Anguilliformes,Ophichthidae,Yirrkala chaselingi,,Chingilt (English),Chingilt
Osteichthyes,Anguilliformes,Ophichthidae,Yirrkala lumbricoides,Earthworm snake-eel ,,
Osteichthyes,Anguilliformes,Ophichthidae,Yirrkala misolensis,Misol snake eel ,Misol snake eel (English),Misol Snake Eel
Osteichthyes,Anguilliformes,Serrivomeridae,Serrivomer beanii,Stout sawpalate ,Bean's sawtooth eel (English),Bean's Sawtooth Eel
Osteichthyes,Anguilliformes,Serrivomeridae,Serrivomer bertini,Thread eel ,"Thread eel (English), Thread sawtooth eel (English)",Thread Sawtooth Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Diastobranchus capensis,Basketwork eel ,"Basketwork eel (English), Deepsea eel (English)",Basketwork Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Histiobranchus australis,,Southern cut-throat eel (English),Southern Cut-throat Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Histiobranchus bruuni,Bruun's cutthroat ,"Bruun's cutthroat (English), Bruun's cut-throat eel (English)",Bruun's Cut-throat Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Ilyophis brunneus,Muddy arrowtooth eel ,Muddy arrowtooth eel (English),Muddy Arrowtooth Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Simenchelys parasitica,Snubnosed eel ,Snubnose eel (English),Snubnose Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Synaphobranchus affinis,Grey cutthroat ,Grey cut-throat eel (English),Grey Cut-throat Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Synaphobranchus brevidorsalis,Shortdorsal cutthroat eel ,"Shortdorsal cutthroat eel (English), Shortfin cut-throat eel (English)",Shortfin Cut-throat Eel
Osteichthyes,Anguilliformes,Synaphobranchidae,Synaphobranchus kaupii,Kaup's arrowtooth eel ,"Kaup's arrowtooth eel (English), Kaup's cut-throat eel (English)",Kaup's Cut-throat Eel
Osteichthyes,Argentiniformes,Argentinidae,Argentina australiae,Silverside ,"Deepsea smelt (English), Silverside (English)",Silverside
Osteichthyes,Argentiniformes,Argentinidae,Argentina elongata,,"Argentine (English), Silverside (English)",
Osteichthyes,Argentiniformes,Argentinidae,Glossanodon australis,Southern herring smelt ,Southern herring smelt (English),Southern Herring Smelt
Osteichthyes,Argentiniformes,Argentinidae,Glossanodon elongatus,,,
Osteichthyes,Argentiniformes,Argentinidae,Glossanodon pseudolineatus,Saddled herring smelt ,Saddled herring smelt (English),Saddled Herring Smelt
Osteichthyes,Argentiniformes,Argentinidae,Glossanodon struhsakeri,Struhsaker's deep-sea smelt ,,
Osteichthyes,Argentiniformes,Bathylagidae,Bathylagichthys australis,Southern deepsea smelt ,Southern deepsea smelt (English),Southern Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Bathylagichthys greyae,Grey's deepsea smelt ,Grey's deepsea smelt (English),Grey's Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Bathylagichthys longipinnis,,,
Osteichthyes,Argentiniformes,Bathylagidae,Bathylagoides argyrogaster,Silver deepsea smelt ,"Silver big-eye smelt (English), Silver deepsea smelt (English)",Silver Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Bathylagus antarcticus,Antarctic deepsea smelt ,"Antarctic big-eye smelt (English), Antarctic deepsea smelt (English)",Antarctic Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Dolicholagus longirostris,Longsnout blacksmelt ,"Longsnout blacksmelt (English), Longsnout deepsea smelt (English)",Longsnout Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Lipolagus ochotensis,Eared blacksmelt ,"Eared blacksmelt (English), Fatty deepsea smelt (English)",Fatty Deepsea Smelt
Osteichthyes,Argentiniformes,Bathylagidae,Melanolagus bericoides,Bigscale deepsea smelt ,Bigscale deepsea smelt (English),Bigscale Deepsea Smelt
Osteichthyes,Argentiniformes,Microstomatidae,Microstoma australis,,,Slender Smallmouth
Osteichthyes,Argentiniformes,Microstomatidae,Microstoma microstoma,Slender argentine ,"Slender argentine (English), Slender smallmouth (English)",
Osteichthyes,Argentiniformes,Microstomatidae,Nansenia ardesiaca,Robust smallmouth ,Robust smallmouth (English),Robust Smallmouth
Osteichthyes,Argentiniformes,Opisthoproctidae,Monacoa grimaldii,Mirrorbelly ,"Flatiron fish (English), Grimaldi's barreleye (English)",
Osteichthyes,Argentiniformes,Opisthoproctidae,Monacoa niger,Black mirrorbelly ,Black mirrorbelly (English),
Osteichthyes,Argentiniformes,Opisthoproctidae,Rhynchohyalus natalensis,Glasshead barreleye ,Glasshead barreleye (English),Glasshead Barreleye
Osteichthyes,Argentiniformes,Opisthoproctidae,Winteria telescopa,Binocular fish ,Binocular fish (English),Binocular Fish
Osteichthyes,Ateleopodiformes,Ateleopodidae,Ateleopus japonicus,Pacific jellynose fish ,Pacific jellynose fish (English),Pacific Jellynose Fish
Osteichthyes,Atheriniformes,Atherinidae,Atherinason hepsetoides,Smallscale hardyhead ,"Dannevig's hardyhead (English), Deepwater hardyhead (English), Richardson's hardyhead (English), Smallscale hardyhead (English), Vera's hardyhead (English)",Smallscale Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Atherinomorus endrachtensis,Eendracht Land silverside ,"Eendracht land silverside (English), Endracht hardyhead (English), Endracht land hardyhead (English), Endracht land silverside (English)",Endracht Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Atherinomorus lacunosus,Wide-banded hardyhead silverside ,"Capricorn hardyhead (English), Hardyhead silverside (English), Pitted hardyhead (English), Robust hardyhead (English), Slender hardyhead (English)",Slender Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Atherinomorus pinguis,Narrow-banded hardyhead silverside ,,
Osteichthyes,Atheriniformes,Atherinidae,Atherinomorus vaigiensis,Ogilby's hardyhead ,"Common hardyhead (English), Hardyhead (English), Marine hardyhead (English), Ogilby's hardyhead (English), Ogilby's silverside (English), Waigeo silverside (English)",Common Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Atherinosoma elongatum,Elongate hardyhead ,"Elongate hardyhead (English), Rockingham hardyhead (English), Smallmouth hardyhead (English), Swan river hardyhead (English)",Elongate Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Atherinosoma microstoma,Smallmouth hardyhead ,"Endora's hardyhead (English), Fanged hardyhead (English), Greyback (English), Smallmouth hardyhead (English), Small-mouth hardyhead (English)",Smallmouth Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus amniculus,Darling river hardyhead ,"Darling hardyhead (English), Darling river hardyhead (English)",Darling Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus capreoli,North-west hardyhead ,"North-west hardyhead (English), Rendahl's hardyhead (English)",North-West Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus centralis,Finke river hardyhead ,"Finke hardyhead (English), Finke river hardyhead (English)",Finke Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus cuneiceps,Deep hardyhead ,"Deep freshwater hardyhead (English), Deep hardyhead (English), Murchison river hardyhead (English)",Deep Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus dalhousiensis,Dalhousie hardyhead ,Dalhousie hardyhead (English),Dalhousie Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus eyresii,Lake Eyre hardyhead ,"Central Australian hardyhead (English), Desert hardyhead (English), Lake Eyre hardyhead (English), Murray hardyhead (English), Western crat (English), Western freshwater hardyhead (English)",Lake Eyre Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus fluviatilis,Murray hardyhead ,"Mitchellian freshwater hardyhead (English), Mitchellian hardyhead (English), Murray hardyhead (English), Western crat (English), Western freshwater hardyhead (English)",Murray Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus fulvus,Unspecked hardyhead ,"Tawny hardyhead (English), Unspecked hardyhead (English)",Unspecked Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus gloveri,Glovers hardyhead ,"Glovers hardyhead (English), Glover's hardyhead (English)",Glover's Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus helenae,Drysdale hardyhead ,Drysdale hardyhead (English),Drysdale Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus honoriae,Estuarine hardyhead ,Estuarine hardyhead (English),Estuarine Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus lentiginosus,Freckled hardyhead ,"Freckled hardyhead (English), Jinbirri (Bunuba), Jinpirr (Walmajarri), Karlanyjarr (Nyikina), Prince Regent hardyhead (English), Thinbidi (Gooniyandi)",Freckled Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus marianae,Magela hardyhead ,"Magela hardyhead (English), Mariana's hardyhead (English)",Mariana's Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus marjoriae,Marjorie's hardyhead ,"Marjorie's freshwater hardyhead (English), Marjorie's hardyhead (English), Silverstreak hardyhead (English)",Marjorie's Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus mugiloides,Spotted hardyhead ,Spotted hardyhead (English),Spotted Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus munroi,Munro's hardyhead ,Munro's hardyhead (English),Munro's Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus pauciradiatus,Few-ray hardyhead ,Few-ray hardyhead (English),Few-ray Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus stercusmuscarum,Fly-specked hardyhead ,"Flyspecked hardyhead (English), Fly-specked hardyhead (English), Freshwater hardyhead (English), Freshwater silverside (English), Line-eye (English), Mitchellian hardyhead (English), Northern fresh water hardyhead (English), Speckled crat (English), Worrell's freshwater hardyhead (English)",Flyspecked Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Craterocephalus stramineus,Blackmast ,"Blackmast (English), Strawman (English)",Blackmast
Osteichthyes,Atheriniformes,Atherinidae,Hypoatherina barnesi,Barnes' silverside ,"Barne's hardyhead (English), Barnes' hardyhead (English), Barnes' silverside (English)",Barnes' Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Hypoatherina temminckii,Samoan silverside ,"Samoan hardyhead (English), Samoan silverside (English)",Samoan Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Hypoatherina tropicalis,Whitley's silverside ,"Tropical hardyhead (English), Whitley's silverside (English)",Tropical Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Kestratherina brevirostris,Short-snout hardyhead ,"Short pikeheaded hardyhead (English), Short-headed hardyhead (English), Shortsnout hardyhead (English), Short-snout hardyhead (English)",Shortsnout Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Kestratherina esox,Pikehead hardyhead ,Pikehead hardyhead (English),Pikehead Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Leptatherina presbyteroides,Silver fish ,"Elongate hardyhead (English), Port Lincoln hardyhead (English), Prettyfish (English), Silver fish (English), Swan river hardyhead (English), Tamar hardyhead (English)",Silver Fish
Osteichthyes,Atheriniformes,Atherinidae,Leptatherina wallacei,Western hardyhead ,Western hardyhead (English),Western Hardyhead
Osteichthyes,Atheriniformes,Atherinidae,Stenatherina panatela,Panatella silverside ,"Panatela hardyhead (English), Panatela silverside (English), Panatella silverside (English)",
Osteichthyes,Atheriniformes,Atherionidae,Atherion elymus,Bearded silverside ,"Bearded silverside (English), Pickleface hardyhead (English), Pickleface silverside (English)",Pickleface Hardyhead
Osteichthyes,Atheriniformes,Atherionidae,Atherion maccullochi,McCulloch's hardyhead ,McCulloch's hardyhead (English),McCulloch's Hardyhead
Osteichthyes,Atheriniformes,Dentatherinidae,Dentatherina merceri,Mercer's tusked silverside ,"Mercer's tusked silverside (English), Tusked silverside (English)",Tusked Silverside
Osteichthyes,Atheriniformes,Isonidae,Iso rhothophilus,Flower of the wave ,"Flower of the wave (English), Surf fish (English), Surf sardine (English)",Surf Sardine
Osteichthyes,Atheriniformes,Melanotaeniidae,Cairnsichthys rhombosomoides,Cairns rainbowfish ,"Cairns rainbowfish (English), Northern soft-spined sunfish (English)",Cairns Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Iriatherina werneri,Threadfin rainbowfish ,Threadfin rainbowfish (English),Threadfin Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia australis,Western rainbowfish ,"Australian rainbowfish (English), Dookool koodany (Nyikina), Gooljirimby (Ngarinyin), Red-tailed rainbowfish (English), Walmadi (Gooniyandi), Walmarri (Bunuba), Western Australian jewel-fish (English), Western Australian sun-fish (English), Western rainbowfish (English), Westralian sunfish (English)",Western Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia duboulayi,Crimsonspotted rainbowfish ,"Crimsonspotted rainbowfish (English), Crimson-spotted rainbowfish (English), Duboulay's rainbowfish (English)",Crimsonspotted Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia eachamensis,Lake Eacham rainbowfish ,Lake Eacham rainbowfish (English),Lake Eacham Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia exquisita,Exquisite rainbowfish ,Exquisite rainbowfish (English),Exquisite Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia fluviatilis,Murray River rainbowfish ,"Australian rainbowfish (English), Crimson-spotted jewelfish (English), Crimson-spotted rainbowfish (English), Murray River rainbowfish (English), Murray river sunfish (English), Murray-Darling sunfish (English), Pink-ear (English), Pink-eared rainbowfish (English), Rainbow-fish (English)",Murray River Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia gracilis,Slender rainbowfish ,Slender rainbowfish (English),Slender Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia maccullochi,Macculloch's rainbowfish ,"Macculloch's rainbowfish (English), McCulloch's rainbowfish (English), McCulloch's sun-fish (English)",McCulloch's Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia nigrans,Blackbanded rainbowfish ,"Black-banded jewelfish (English), Black striped rainbow fish (English), Blackbanded rainbowfish (English), Black-banded rainbowfish (English), Common freshwater sunfish (English), Mauve rainbow-fish (English), Spotted sunfish (English), Yalgurnda (English)",Blackbanded Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia pygmaea,Pygmy rainbowfish ,Pygmy rainbowfish (English),Pygmy Rainbowfish
Osteichthyes,Atheriniformes,Melanotaeniidae,Melanotaenia solata,Northern Rainbowfish ,Northern Rainbowfish (English),
