file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_2_1_16S.1.fq.gz       FASTQ   DNA    283,818  34,628,300      121      122      123   121  123   123        0  123   95.91   91.79
V10_CKI_N_2_1_16S.2.fq.gz       FASTQ   DNA    283,818  34,623,292      121      122      123   121  121   123        0  121   95.72   90.88
V10_CKI_N_2_2_16S.1.fq.gz       FASTQ   DNA     56,208   6,859,622      121      122      123   121  123   123        0  123    96.9   93.27
V10_CKI_N_2_2_16S.2.fq.gz       FASTQ   DNA     56,208   6,855,130      121      122      123   121  121   123        0  121   96.46   92.07
V10_CKI_N_2_3_16S.1.fq.gz       FASTQ   DNA    159,793  19,470,259      121    121.8      123   121  121   123        0  121   96.87   92.96
V10_CKI_N_2_3_16S.2.fq.gz       FASTQ   DNA    159,793  19,519,233      121    122.2      123   121  123   123        0  123   95.22   90.18
V10_CKI_N_2_4_16S.1.fq.gz       FASTQ   DNA    219,591  26,754,663      121    121.8      123   121  121   123        0  121   96.13   92.21
V10_CKI_N_2_4_16S.2.fq.gz       FASTQ   DNA    219,591  26,825,541      121    122.2      123   121  123   123        0  123   95.92   91.19
V10_CKI_N_2_5_16S.1.fq.gz       FASTQ   DNA    290,752  35,434,940      121    121.9      123   121  121   123        0  121    96.3   92.28
V10_CKI_N_2_5_16S.2.fq.gz       FASTQ   DNA    290,752  35,508,548      121    122.1      123   121  123   123        0  123   96.02   91.32
V10_CKI_N_2_DI_16S.1.fq.gz      FASTQ   DNA     27,004   3,290,978      121    121.9      123   121  121   123        0  121   96.04    91.8
V10_CKI_N_2_DI_16S.2.fq.gz      FASTQ   DNA     27,004   3,297,998      121    122.1      123   121  123   123        0  123   95.64    90.6
V10_CKI_N_2_WC_16S.1.fq.gz      FASTQ   DNA     46,987   5,725,159      121    121.8      123   121  121   123        0  121   96.08   92.19
V10_CKI_N_2_WC_16S.2.fq.gz      FASTQ   DNA     46,987   5,739,669      121    122.2      123   121  123   123        0  123   96.15   91.55
V10_CKI_N_3_1_16S.1.fq.gz       FASTQ   DNA    130,180  15,863,466      121    121.9      123   121  121   123        0  121    96.1   91.96
V10_CKI_N_3_1_16S.2.fq.gz       FASTQ   DNA    130,180  15,900,454      121    122.1      123   121  123   123        0  123   95.84   90.98
V10_CKI_N_3_2_16S.1.fq.gz       FASTQ   DNA    226,770  27,630,452      121    121.8      123   121  121   123        0  121   96.41   92.45
V10_CKI_N_3_2_16S.2.fq.gz       FASTQ   DNA    226,770  27,701,428      121    122.2      123   121  123   123        0  123   96.12   91.59
V10_CKI_N_3_3_16S.1.fq.gz       FASTQ   DNA     51,574   6,287,182      121    121.9      123   121  121   123        0  121   97.53   93.97
V10_CKI_N_3_3_16S.2.fq.gz       FASTQ   DNA     51,574   6,296,874      121    122.1      123   121  123   123        0  123   96.74   92.33
V10_CKI_N_3_4_16S.1.fq.gz       FASTQ   DNA    368,677  44,968,333      121      122      123   121  121   123        0  121   95.99   91.72
V10_CKI_N_3_4_16S.2.fq.gz       FASTQ   DNA    368,677  44,988,855      121      122      123   121  123   123        0  123   95.43    90.4
V10_CKI_N_3_5_16S.1.fq.gz       FASTQ   DNA    239,194  29,180,236      121      122      123   121  121   123        0  123   96.28   92.22
V10_CKI_N_3_5_16S.2.fq.gz       FASTQ   DNA    239,194  29,183,100      121      122      123   121  123   123        0  123   95.93   91.13
V10_CKI_N_3_DI_16S.1.fq.gz      FASTQ   DNA     66,487   8,111,139      121      122      123   121  121   123        0  123   95.83   91.49
V10_CKI_N_3_DI_16S.2.fq.gz      FASTQ   DNA     66,487   8,111,689      121      122      123   121  123   123        0  123   95.39   90.22
V10_CKI_N_3_WC_16S.1.fq.gz      FASTQ   DNA    139,791  17,056,229      121      122      123   121  123   123        0  123   96.09   91.91
V10_CKI_N_3_WC_16S.2.fq.gz      FASTQ   DNA    139,791  17,052,775      121      122      123   121  121   123        0  121   95.74   90.89
V10_CKI_N_4_1_16S.1.fq.gz       FASTQ   DNA    153,772  18,745,618      121    121.9      123   121  121   123        0  121    96.8   93.27
V10_CKI_N_4_1_16S.2.fq.gz       FASTQ   DNA    153,772  18,774,750      121    122.1      123   121  123   123        0  123   96.23   91.79
V10_CKI_N_4_2_16S.1.fq.gz       FASTQ   DNA    157,395  19,185,201      121    121.9      123   121  121   123        0  121    96.6   92.84
V10_CKI_N_4_2_16S.2.fq.gz       FASTQ   DNA    157,395  19,219,179      121    122.1      123   121  123   123        0  123   95.52   90.66
V10_CKI_N_4_3_16S.1.fq.gz       FASTQ   DNA    338,715  41,282,287      121    121.9      123   121  121   123        0  121    95.6   91.18
V10_CKI_N_4_3_16S.2.fq.gz       FASTQ   DNA    338,715  41,364,173      121    122.1      123   121  123   123        0  123   95.08   89.74
V10_CKI_N_4_4_16S.1.fq.gz       FASTQ   DNA    151,760  18,505,722      121    121.9      123   121  121   123        0  121   96.94   93.29
V10_CKI_N_4_4_16S.2.fq.gz       FASTQ   DNA    151,760  18,523,718      121    122.1      123   121  123   123        0  123   96.74   92.54
V10_CKI_N_4_5_16S.1.fq.gz       FASTQ   DNA    240,049  29,283,701      121      122      123   121  121   123        0  121   96.74   93.01
V10_CKI_N_4_5_16S.2.fq.gz       FASTQ   DNA    240,049  29,288,255      121      122      123   121  123   123        0  123   96.01   91.28
V10_CKI_N_4_DI_16S.1.fq.gz      FASTQ   DNA     72,703   8,872,273      121      122      123   121  123   123        0  123   96.39   92.33
V10_CKI_N_4_DI_16S.2.fq.gz      FASTQ   DNA     72,703   8,867,259      121      122      123   121  121   123        0  121   96.21   91.64
V10_CKI_N_4_WC_16S.1.fq.gz      FASTQ   DNA      2,263     275,971      121    121.9      123   121  121   123        0  121   94.48   89.96
V10_CKI_N_4_WC_16S.2.fq.gz      FASTQ   DNA      2,263     276,201      121    122.1      123   121  123   123        0  123   92.86    87.1
V10_CKI_N_5_1_16S.1.fq.gz       FASTQ   DNA    143,357  17,482,945      121      122      123   121  121   123        0  121   96.72    92.9
V10_CKI_N_5_1_16S.2.fq.gz       FASTQ   DNA    143,357  17,496,163      121      122      123   121  123   123        0  123   96.36   91.88
V10_CKI_N_5_2_16S.1.fq.gz       FASTQ   DNA    145,125  17,697,551      121    121.9      123   121  121   123        0  121    96.4   92.45
V10_CKI_N_5_2_16S.2.fq.gz       FASTQ   DNA    145,125  17,712,949      121    122.1      123   121  123   123        0  123   95.89   91.12
V10_CKI_N_5_3_16S.1.fq.gz       FASTQ   DNA    107,924  13,159,652      121    121.9      123   121  121   123        0  121   96.12    91.9
V10_CKI_N_5_3_16S.2.fq.gz       FASTQ   DNA    107,924  13,173,804      121    122.1      123   121  123   123        0  123   95.08   89.79
V10_CKI_N_5_4_16S.1.fq.gz       FASTQ   DNA    314,535  38,359,109      121      122      123   121  121   123        0  121   95.66   91.39
V10_CKI_N_5_4_16S.2.fq.gz       FASTQ   DNA    314,535  38,387,431      121      122      123   121  123   123        0  123   95.47   90.57
V10_CKI_N_5_5_16S.1.fq.gz       FASTQ   DNA    173,557  21,169,349      121      122      123   121  121   123        0  121   96.67   92.85
V10_CKI_N_5_5_16S.2.fq.gz       FASTQ   DNA    173,557  21,178,559      121      122      123   121  123   123        0  123    96.3   91.79
V10_CKI_N_5_DI_16S.1.fq.gz      FASTQ   DNA      8,817   1,075,551      121      122      123   121  121   123        0  121   95.93   91.67
V10_CKI_N_5_DI_16S.2.fq.gz      FASTQ   DNA      8,817   1,075,797      121      122      123   121  123   123        0  123   95.51   90.56
V10_CKI_N_5_WC_16S.1.fq.gz      FASTQ   DNA     43,712   5,331,992      121      122      123   121  121   123        0  121   95.38   90.64
V10_CKI_N_5_WC_16S.2.fq.gz      FASTQ   DNA     43,712   5,333,736      121      122      123   121  123   123        0  123   94.99   89.62
V10_CKI_N_6_1_16S.1.fq.gz       FASTQ   DNA     97,529  11,901,729      121      122      123   121  123   123        0  123   97.67   94.17
V10_CKI_N_6_1_16S.2.fq.gz       FASTQ   DNA     97,529  11,895,347      121      122      123   121  121   123        0  121   96.79   92.35
V10_CKI_N_6_2_16S.1.fq.gz       FASTQ   DNA    171,447  20,913,389      121      122      123   121  121   123        0  121    96.7   92.87
V10_CKI_N_6_2_16S.2.fq.gz       FASTQ   DNA    171,447  20,919,679      121      122      123   121  123   123        0  123    95.8   90.81
V10_CKI_N_6_3_16S.1.fq.gz       FASTQ   DNA    229,690  28,013,468      121      122      123   121  121   123        0  121   97.22   93.76
