file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_12_WC_16S.2.fq.gz     FASTQ   DNA        941     134,563      143      143      143  71.5  143  71.5        0  143   95.45   90.85
V10_CKI_N_13_1_16S.1.fq.gz      FASTQ   DNA    124,065  17,741,295      143      143      143  71.5  143  71.5        0  143   96.75   92.78
V10_CKI_N_13_1_16S.2.fq.gz      FASTQ   DNA    124,065  17,741,295      143      143      143  71.5  143  71.5        0  143   96.07   91.73
V10_CKI_N_1_3_16S.1.fq.gz       FASTQ   DNA    114,910  16,432,130      143      143      143  71.5  143  71.5        0  143   97.02   93.49
V10_CKI_N_1_3_16S.2.fq.gz       FASTQ   DNA    114,910  16,432,130      143      143      143  71.5  143  71.5        0  143   95.69      91
V10_CKI_N_13_2_16S.1.fq.gz      FASTQ   DNA    217,807  31,146,401      143      143      143  71.5  143  71.5        0  143   96.64   92.72
V10_CKI_N_13_2_16S.2.fq.gz      FASTQ   DNA    217,807  31,146,401      143      143      143  71.5  143  71.5        0  143   95.68   91.08
V10_CKI_N_13_3_16S.1.fq.gz      FASTQ   DNA    151,343  21,642,049      143      143      143  71.5  143  71.5        0  143   96.46   92.41
V10_CKI_N_13_3_16S.2.fq.gz      FASTQ   DNA    151,343  21,642,049      143      143      143  71.5  143  71.5        0  143   95.74   91.09
V10_CKI_N_13_4_16S.1.fq.gz      FASTQ   DNA    127,403  18,218,629      143      143      143  71.5  143  71.5        0  143   96.75   92.93
V10_CKI_N_13_4_16S.2.fq.gz      FASTQ   DNA    127,403  18,218,629      143      143      143  71.5  143  71.5        0  143   95.48   90.68
V10_CKI_N_13_5_16S.1.fq.gz      FASTQ   DNA     93,764  13,408,252      143      143      143  71.5  143  71.5        0  143    96.5   92.56
V10_CKI_N_13_5_16S.2.fq.gz      FASTQ   DNA     93,764  13,408,252      143      143      143  71.5  143  71.5        0  143   95.56   90.88
V10_CKI_N_13_DI_16S.1.fq.gz     FASTQ   DNA        559      79,937      143      143      143  71.5  143  71.5        0  143   94.35   89.43
V10_CKI_N_13_DI_16S.2.fq.gz     FASTQ   DNA        559      79,937      143      143      143  71.5  143  71.5        0  143   92.88   87.17
V10_CKI_N_13_WC_16S.1.fq.gz     FASTQ   DNA     18,670   2,669,810      143      143      143  71.5  143  71.5        0  143   96.81   92.99
V10_CKI_N_13_WC_16S.2.fq.gz     FASTQ   DNA     18,670   2,669,810      143      143      143  71.5  143  71.5        0  143    96.3   92.34
V10_CKI_N_14_1_16S.1.fq.gz      FASTQ   DNA    193,992  27,740,856      143      143      143  71.5  143  71.5        0  143   97.02   93.43
V10_CKI_N_14_1_16S.2.fq.gz      FASTQ   DNA    193,992  27,740,856      143      143      143  71.5  143  71.5        0  143   96.49   92.39
V10_CKI_N_1_4_16S.1.fq.gz       FASTQ   DNA    199,084  28,469,012      143      143      143  71.5  143  71.5        0  143    96.6   92.65
V10_CKI_N_1_4_16S.2.fq.gz       FASTQ   DNA    199,084  28,469,012      143      143      143  71.5  143  71.5        0  143   96.36   92.15
V10_CKI_N_14_2_16S.1.fq.gz      FASTQ   DNA    192,510  27,528,930      143      143      143  71.5  143  71.5        0  143   96.69   92.85
V10_CKI_N_14_2_16S.2.fq.gz      FASTQ   DNA    192,510  27,528,930      143      143      143  71.5  143  71.5        0  143   64.97   50.87
V10_CKI_N_14_3_16S.1.fq.gz      FASTQ   DNA    254,339  36,370,477      143      143      143  71.5  143  71.5        0  143   96.64   92.81
V10_CKI_N_14_3_16S.2.fq.gz      FASTQ   DNA    254,339  36,370,477      143      143      143  71.5  143  71.5        0  143   96.29   92.12
V10_CKI_N_14_4_16S.1.fq.gz      FASTQ   DNA    116,660  16,682,380      143      143      143  71.5  143  71.5        0  143   96.54   92.73
V10_CKI_N_14_4_16S.2.fq.gz      FASTQ   DNA    116,660  16,682,380      143      143      143  71.5  143  71.5        0  143   96.15   91.73
V10_CKI_N_14_5_16S.1.fq.gz      FASTQ   DNA    230,940  33,024,420      143      143      143  71.5  143  71.5        0  143   96.16   91.81
V10_CKI_N_14_5_16S.2.fq.gz      FASTQ   DNA    230,940  33,024,420      143      143      143  71.5  143  71.5        0  143   95.63   90.82
V10_CKI_N_14_DI_16S.1.fq.gz     FASTQ   DNA          5         715      143      143      143  71.5  143  71.5        0  143   73.43   62.66
V10_CKI_N_14_DI_16S.2.fq.gz     FASTQ   DNA          5         715      143      143      143  71.5  143  71.5        0  143   70.21   59.16
V10_CKI_N_14_WC_16S.1.fq.gz     FASTQ   DNA        169      24,167      143      143      143  71.5  143  71.5        0  143   93.67   88.82
V10_CKI_N_14_WC_16S.2.fq.gz     FASTQ   DNA        169      24,167      143      143      143  71.5  143  71.5        0  143   91.07   84.71
V10_CKI_N_1_5_16S.1.fq.gz       FASTQ   DNA    201,800  28,857,400      143      143      143  71.5  143  71.5        0  143   96.54   92.58
V10_CKI_N_1_5_16S.2.fq.gz       FASTQ   DNA    201,800  28,857,400      143      143      143  71.5  143  71.5        0  143   96.08   91.76
V10_CKI_N_1_DI_16S.1.fq.gz      FASTQ   DNA      3,995     571,285      143      143      143  71.5  143  71.5        0  143   95.44   90.93
V10_CKI_N_1_DI_16S.2.fq.gz      FASTQ   DNA      3,995     571,285      143      143      143  71.5  143  71.5        0  143   95.39   90.64
V10_CKI_N_1_WC_16S.1.fq.gz      FASTQ   DNA     14,429   2,063,347      143      143      143  71.5  143  71.5        0  143      96   91.53
V10_CKI_N_1_WC_16S.2.fq.gz      FASTQ   DNA     14,429   2,063,347      143      143      143  71.5  143  71.5        0  143   95.74   91.05
V10_CKI_N_2_1_16S.1.fq.gz       FASTQ   DNA    143,166  20,472,738      143      143      143  71.5  143  71.5        0  143   97.08   93.55
V10_CKI_N_2_1_16S.2.fq.gz       FASTQ   DNA    143,166  20,472,738      143      143      143  71.5  143  71.5        0  143    96.1    91.6
V10_CKI_N_2_2_16S.1.fq.gz       FASTQ   DNA     29,229   4,179,747      143      143      143  71.5  143  71.5        0  143   97.35   93.86
V10_CKI_N_2_2_16S.2.fq.gz       FASTQ   DNA     29,229   4,179,747      143      143      143  71.5  143  71.5        0  143   96.39   92.17
V10_CKI_N_2_3_16S.1.fq.gz       FASTQ   DNA     67,653   9,674,379      143      143      143  71.5  143  71.5        0  143   96.92   92.97
V10_CKI_N_2_3_16S.2.fq.gz       FASTQ   DNA     67,653   9,674,379      143      143      143  71.5  143  71.5        0  143   97.19   93.55
V10_CKI_N_2_4_16S.1.fq.gz       FASTQ   DNA     92,076  13,166,868      143      143      143  71.5  143  71.5        0  143   96.33   92.38
V10_CKI_N_2_4_16S.2.fq.gz       FASTQ   DNA     92,076  13,166,868      143      143      143  71.5  143  71.5        0  143   96.02    91.5
V10_CKI_N_2_5_16S.1.fq.gz       FASTQ   DNA    126,974  18,157,282      143      143      143  71.5  143  71.5        0  143   97.06   93.36
V10_CKI_N_2_5_16S.2.fq.gz       FASTQ   DNA    126,974  18,157,282      143      143      143  71.5  143  71.5        0  143   95.72   91.01
V10_CKI_N_2_DI_16S.1.fq.gz      FASTQ   DNA     11,747   1,679,821      143      143      143  71.5  143  71.5        0  143   96.34   91.82
V10_CKI_N_2_DI_16S.2.fq.gz      FASTQ   DNA     11,747   1,679,821      143      143      143  71.5  143  71.5        0  143   96.51   92.47
V10_CKI_N_2_WC_16S.1.fq.gz      FASTQ   DNA     19,866   2,840,838      143      143      143  71.5  143  71.5        0  143   96.23   92.16
V10_CKI_N_2_WC_16S.2.fq.gz      FASTQ   DNA     19,866   2,840,838      143      143      143  71.5  143  71.5        0  143   96.22      92
V10_CKI_N_3_1_16S.1.fq.gz       FASTQ   DNA     55,843   7,985,549      143      143      143  71.5  143  71.5        0  143   96.92   93.01
V10_CKI_N_3_1_16S.2.fq.gz       FASTQ   DNA     55,843   7,985,549      143      143      143  71.5  143  71.5        0  143   96.11   91.67
V10_CKI_N_3_2_16S.1.fq.gz       FASTQ   DNA     95,641  13,676,663      143      143      143  71.5  143  71.5        0  143   97.16   93.35
V10_CKI_N_3_2_16S.2.fq.gz       FASTQ   DNA     95,641  13,676,663      143      143      143  71.5  143  71.5        0  143   97.37   93.99
V10_CKI_N_3_3_16S.1.fq.gz       FASTQ   DNA     23,364   3,341,052      143      143      143  71.5  143  71.5        0  143   97.69   94.44
V10_CKI_N_3_3_16S.2.fq.gz       FASTQ   DNA     23,364   3,341,052      143      143      143  71.5  143  71.5        0  143   96.53      92
V10_CKI_N_3_4_16S.1.fq.gz       FASTQ   DNA    179,208  25,626,744      143      143      143  71.5  143  71.5        0  143   96.22   92.05
V10_CKI_N_3_4_16S.2.fq.gz       FASTQ   DNA    179,208  25,626,744      143      143      143  71.5  143  71.5        0  143    95.8   91.29
V10_CKI_N_3_5_16S.1.fq.gz       FASTQ   DNA    118,881  16,999,983      143      143      143  71.5  143  71.5        0  143    96.6   92.49
V10_CKI_N_3_5_16S.2.fq.gz       FASTQ   DNA    118,881  16,999,983      143      143      143  71.5  143  71.5        0  143   95.71   91.08
V10_CKI_N_3_DI_16S.1.fq.gz      FASTQ   DNA     33,106   4,734,158      143      143      143  71.5  143  71.5        0  143   95.92   91.55
V10_CKI_N_3_DI_16S.2.fq.gz      FASTQ   DNA     33,106   4,734,158      143      143      143  71.5  143  71.5        0  143   95.79   91.12
V10_CKI_N_3_WC_16S.1.fq.gz      FASTQ   DNA     70,759  10,118,537      143      143      143  71.5  143  71.5        0  143    96.2   91.96
V10_CKI_N_3_WC_16S.2.fq.gz      FASTQ   DNA     70,759  10,118,537      143      143      143  71.5  143  71.5        0  143    95.9   91.48
V10_CKI_N_4_1_16S.1.fq.gz       FASTQ   DNA     69,603   9,953,229      143      143      143  71.5  143  71.5        0  143    96.5   92.62
V10_CKI_N_4_1_16S.2.fq.gz       FASTQ   DNA     69,603   9,953,229      143      143      143  71.5  143  71.5        0  143   96.75    92.9
V10_CKI_N_4_2_16S.1.fq.gz       FASTQ   DNA     70,203  10,039,029      143      143      143  71.5  143  71.5        0  143   96.77   93.03
V10_CKI_N_4_2_16S.2.fq.gz       FASTQ   DNA     70,203  10,039,029      143      143      143  71.5  143  71.5        0  143   96.57   92.66
V10_CKI_N_4_3_16S.1.fq.gz       FASTQ   DNA    148,886  21,290,698      143      143      143  71.5  143  71.5        0  143   96.52   92.44
V10_CKI_N_4_3_16S.2.fq.gz       FASTQ   DNA    148,886  21,290,698      143      143      143  71.5  143  71.5        0  143   95.59   90.77
