file                               format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_N_19_DI_MiFish.1.fq.gz     FASTQ   DNA      2,518     405,398      161      161      161  80.5  161  80.5        0  161   93.62   88.08
V10_CKI_N_19_DI_MiFish.2.fq.gz     FASTQ   DNA      2,518     405,398      161      161      161  80.5  161  80.5        0  161   95.39   90.55
V10_CKI_N_19_WC_MiFish.1.fq.gz     FASTQ   DNA      7,079   1,139,719      161      161      161  80.5  161  80.5        0  161   92.84   86.72
V10_CKI_N_19_WC_MiFish.2.fq.gz     FASTQ   DNA      7,079   1,139,719      161      161      161  80.5  161  80.5        0  161   95.03   89.65
V10_CKI_N_20_1_MiFish.1.fq.gz      FASTQ   DNA     33,182   5,342,302      161      161      161  80.5  161  80.5        0  161   94.83   89.76
V10_CKI_N_20_1_MiFish.2.fq.gz      FASTQ   DNA     33,182   5,342,302      161      161      161  80.5  161  80.5        0  161   96.14   91.82
V10_CKI_N_20_2_MiFish.1.fq.gz      FASTQ   DNA     91,268  14,694,148      161      161      161  80.5  161  80.5        0  161   95.01   90.07
V10_CKI_N_20_2_MiFish.2.fq.gz      FASTQ   DNA     91,268  14,694,148      161      161      161  80.5  161  80.5        0  161   96.21   91.88
V10_CKI_N_20_3_MiFish.1.fq.gz      FASTQ   DNA     67,001  10,787,161      161      161      161  80.5  161  80.5        0  161   95.18   90.45
V10_CKI_N_20_3_MiFish.2.fq.gz      FASTQ   DNA     67,001  10,787,161      161      161      161  80.5  161  80.5        0  161   96.28   92.07
V10_CKI_N_20_4_MiFish.1.fq.gz      FASTQ   DNA     93,430  15,042,230      161      161      161  80.5  161  80.5        0  161   94.72   89.63
V10_CKI_N_20_4_MiFish.2.fq.gz      FASTQ   DNA     93,430  15,042,230      161      161      161  80.5  161  80.5        0  161      96   91.67
V10_CKI_N_20_5_MiFish.1.fq.gz      FASTQ   DNA     68,064  10,958,304      161      161      161  80.5  161  80.5        0  161   94.96   89.99
V10_CKI_N_20_5_MiFish.2.fq.gz      FASTQ   DNA     68,064  10,958,304      161      161      161  80.5  161  80.5        0  161   95.91   91.49
V10_CKI_N_20_DI_MiFish.1.fq.gz     FASTQ   DNA      1,719     276,759      161      161      161  80.5  161  80.5        0  161   92.61   86.92
V10_CKI_N_20_DI_MiFish.2.fq.gz     FASTQ   DNA      1,719     276,759      161      161      161  80.5  161  80.5        0  161   94.06   88.73
V10_CKI_N_20_WC_MiFish.1.fq.gz     FASTQ   DNA      7,365   1,185,765      161      161      161  80.5  161  80.5        0  161    93.6   87.95
V10_CKI_N_20_WC_MiFish.2.fq.gz     FASTQ   DNA      7,365   1,185,765      161      161      161  80.5  161  80.5        0  161   95.17   89.98
V10_CKI_N_21_1_MiFish.1.fq.gz      FASTQ   DNA    100,001  16,100,161      161      161      161  80.5  161  80.5        0  161   94.45   89.32
V10_CKI_N_21_1_MiFish.2.fq.gz      FASTQ   DNA    100,001  16,100,161      161      161      161  80.5  161  80.5        0  161   95.78   91.26
